district,min_latitude,max_latitude,min_longitude,max_longitude,priority
The Strip,36.0800,36.1400,-115.1900,-115.1400,1
Downtown Las Vegas,36.1500,36.1900,-115.1800,-115.1200,2
Summerlin,36.1200,36.2300,-115.3600,-115.2400,3
Henderson,35.9600,36.0900,-115.1200,-114.9300,4
North Las Vegas,36.2000,36.3200,-115.2600,-115.0500,5
Enterprise,36.0000,36.0900,-115.2600,-115.1400,6
Spring Valley,36.0900,36.1500,-115.2600,-115.1800,7
Green Valley,36.0200,36.0900,-115.1200,-115.0200,8
Centennial,36.2600,36.3400,-115.3200,-115.2100,9
Anthem,35.9500,36.0200,-115.1200,-115.0000,10
Mountains Edge,35.9800,36.0800,-115.3100,-115.2400,11
Paradise,36.0700,36.1400,-115.1800,-115.1000,12
Winchester,36.1300,36.1700,-115.1200,-115.0700,13
